,model,bootstrap_iteration,discrimination_slope
345,Age Only,45,0.09966731
346,Age Only,46,0.08990592
347,Age Only,47,0.08990592
348,Age Only,48,0.10012981
349,Age Only,49,0.08990592
350,Age Only,50,0.10002139
351,Age Only,51,0.08990592
352,Age Only,52,0.09966731
353,Age Only,53,0.10013643
354,Age Only,54,0.09024668
355,Age Only,55,0.09966731
356,Age Only,56,0.06561276
357,Age Only,57,0.09966731
358,Age Only,58,0.10012981
359,Age Only,59,0.09966731
360,Age Only,60,0.10012981
361,Age Only,61,0.09024668
362,Age Only,62,0.09966731
363,Age Only,63,0.09024668
364,Age Only,64,0.10002139
365,Age Only,65,0.09003943
366,Age Only,66,0.09966731
367,Age Only,67,0.09966731
368,Age Only,68,0.09966731
369,Age Only,69,0.08990592
370,Age Only,70,0.10012981
371,Age Only,71,0.09966731
372,Age Only,72,0.10013643
373,Age Only,73,0.10013643
374,Age Only,74,0.08990592
375,Age Only,75,0.09966731
376,Age Only,76,0.08966404
377,Age Only,77,0.10012981
378,Age Only,78,0.10012981
379,Age Only,79,0.10012981
380,Age Only,80,0.09966731
381,Age Only,81,0.09966731
382,Age Only,82,0.09966731
383,Age Only,83,0.09024668
384,Age Only,84,0.09003943
385,Age Only,85,0.08990592
386,Age Only,86,0.08990592
387,Age Only,87,0.10002139
388,Age Only,88,0.10013643
389,Age Only,89,0.09966731
390,Age Only,90,0.10002139
391,Age Only,91,0.10013643
392,Age Only,92,0.10012981
393,Age Only,93,0.08990592
394,Age Only,94,0.08990592
395,Age Only,95,0.10013643
396,Age Only,96,0.10002139
397,Age Only,97,0.09966731
398,Age Only,98,0.09966731
399,Age Only,99,0.10013643
400,covariates only,0,0.06939283
401,covariates only,1,0.06939283
402,covariates only,2,0.10910827
403,covariates only,3,0.06935361
404,covariates only,4,0.045244157
405,covariates only,5,0.045246303
406,covariates only,6,0.11838561
407,covariates only,7,0.06935361
408,covariates only,8,0.016646802
409,covariates only,9,0.06935361
410,covariates only,10,0.11227396
411,covariates only,11,0.04765749
412,covariates only,12,0.043254197
413,covariates only,13,0.06939283
414,covariates only,14,0.045246303
415,covariates only,15,0.07289371
416,covariates only,16,0.1137287
417,covariates only,17,0.065497965
418,covariates only,18,0.10983893
419,covariates only,19,0.045246303
420,covariates only,20,0.10983893
421,covariates only,21,0.045246303
422,covariates only,22,0.10480079
423,covariates only,23,0.043292165
424,covariates only,24,0.07336557
425,covariates only,25,0.11861643
426,covariates only,26,0.073138654
427,covariates only,27,0.018281162
428,covariates only,28,0.045308948
429,covariates only,29,0.043292165
430,covariates only,30,0.0883117
431,covariates only,31,0.10983893
432,covariates only,32,0.108462125
433,covariates only,33,0.06935361
434,covariates only,34,0.10480079
435,covariates only,35,0.045308948
436,covariates only,36,0.094006956
437,covariates only,37,0.06939283
438,covariates only,38,0.06580678
439,covariates only,39,0.10480079
440,covariates only,40,0.06939283
441,covariates only,41,0.065326065
442,covariates only,42,0.10893163
443,covariates only,43,0.043292165
444,covariates only,44,0.10054365
445,covariates only,45,0.045308948
446,covariates only,46,0.04440257
447,covariates only,47,0.09410897
448,covariates only,48,0.045246303
449,covariates only,49,0.045244157
450,covariates only,50,0.10910827
451,covariates only,51,0.1195429
452,covariates only,52,0.11838561
453,covariates only,53,0.093954116
454,covariates only,54,0.043292165
455,covariates only,55,0.100848764
456,covariates only,56,0.115487695
457,covariates only,57,0.045308948
458,covariates only,58,0.10893163
459,covariates only,59,0.045308948
460,covariates only,60,0.04714319
461,covariates only,61,0.11905256
462,covariates only,62,0.06580678
463,covariates only,63,0.07336557
464,covariates only,64,0.045244157
465,covariates only,65,0.044172198
466,covariates only,66,0.1199311
467,covariates only,67,0.06935361
468,covariates only,68,0.11442986
469,covariates only,69,0.06935361
470,covariates only,70,0.045244157
471,covariates only,71,0.045246303
472,covariates only,72,0.094006956
473,covariates only,73,0.06875643
474,covariates only,74,0.04765421
475,covariates only,75,0.06939283
476,covariates only,76,0.06935361
477,covariates only,77,0.1137287
478,covariates only,78,0.09410897
479,covariates only,79,0.094006956
480,covariates only,80,0.09410897
481,covariates only,81,0.06935361
482,covariates only,82,0.094006956
483,covariates only,83,0.04714319
484,covariates only,84,0.10893163
485,covariates only,85,0.044172198
486,covariates only,86,0.045244157
487,covariates only,87,0.06935361
488,covariates only,88,0.07289371
